name,description,price,category,image_url,available,sort_order
"{""en"":""Fatteh"",""fr"":""Fatteh"",""nl"":""Fatteh""}","{""en"":""Cooked chickpeas, fried Lebanese bread, garlic and homemade lemon tahini sauce"",""fr"":""Pois chiches cuits, pain libanais frit, ail et sauce tahini au citron maison"",""nl"":""Gekookte kikkererwten, gebakken Libanees brood, knoflook en huisgemaakte tahini-citroensaus""}",7.50,hot-mezzes,,true,100
"{""en"":""Oriental Eggplant"",""fr"":""Aubergine Orientale"",""nl"":""Oosterse Aubergine""}","{""en"":""Grilled eggplant topped with minced meat cooked with onion, tomato and pepper"",""fr"":""Aubergine grillée garnie de viande hachée cuisinée avec oignon, tomate et poivron"",""nl"":""Gegrilde aubergine met gehakt gekookt met ui, tomaat en paprika""}",13.50,hot-mezzes,,true,101
"{""en"":""Chef's Mezze"",""fr"":""Mezzé du Chef"",""nl"":""Chef's Mezze""}","{""en"":""Grilled minced meat with mushrooms, onion, lemon tahini sauce and parsley"",""fr"":""Viande hachée grillée avec champignons, oignon, sauce tahini au citron et persil"",""nl"":""Gegrild gehakt met champignons, ui, tahini-citroensaus en peterselie""}",13.50,hot-mezzes,,true,102
"{""en"":""Chicken Liver"",""fr"":""Foie de Poulet"",""nl"":""Kippenlevertjes""}","{""en"":""Chicken liver cooked with onion and special spices. Served with pomegranate sauce"",""fr"":""Foie de poulet cuisiné avec oignon et épices spéciales. Servi avec sauce à la grenade"",""nl"":""Kippenlever gekookt met ui en speciale kruiden. Geserveerd met granaatappelsaus""}",11.50,hot-mezzes,,true,103
"{""en"":""Batata Harra"",""fr"":""Batata Harra"",""nl"":""Batata Harra""}","{""en"":""Fried potato cubes with red peppers, coriander and garlic"",""fr"":""Cubes de pommes de terre frites avec poivrons rouges, coriandre et ail"",""nl"":""Gebakken aardappelblokjes met rode paprika, koriander en knoflook""}",7.50,hot-mezzes,,true,104
